datetime,open,high,low,close,volume,return
20250731,208.49,209.84,207.16,207.57,353402,-0.0070796460176991705
20250801,210.95,213.58,201.5,202.38,611561,-0.02500361323890732
20250804,204.46,207.88,201.67,203.35,415554,0.004792963731593991
20250805,203.4,205.34,202.16,202.92,260165,-0.002114580772067942
20250806,205.63,215.38,205.59,213.25,689849,0.050906761285235635
20250807,218.89,220.85,216.58,220.03,605012,0.03179366940211015
20250808,220.86,231.0,219.25,229.35,812841,0.04235786029177846
20250811,227.93,229.56,224.76,227.18,374530,-0.009461521691737418
20250812,228.01,230.8,227.07,229.65,315574,0.01087243595386922
20250813,231.07,235.0,230.43,233.33,434868,0.016024384933594593
20250814,234.01,235.06,230.85,232.78,293393,-0.0023571765310933523
20250815,234.0,234.28,229.36,231.59,279819,-0.005112123034624938
20250818,231.77,233.12,230.11,230.89,214190,-0.0030225830130835574
20250819,231.28,232.87,229.35,230.56,211766,-0.0014292520247736196
20250820,229.97,230.47,225.77,226.01,234020,-0.019734559333795976
20250821,226.27,226.52,223.78,224.9,189424,-0.0049112871111897105
20250822,226.17,229.09,225.41,227.76,231984,0.012716763005780285
20250825,226.48,229.3,226.23,227.16,185627,-0.0026343519494204104
20250826,226.86,229.49,224.69,229.31,199194,0.009464694488466208
20250827,228.69,230.9,228.26,230.49,181884,0.005145872399808127
20250828,230.82,233.41,229.33,232.56,207230,0.008980866848887104
20250829,232.55,233.38,231.37,232.14,210764,-0.001805985552115641
20250902,229.25,230.85,226.97,229.72,225378,-0.010424743689153027
20250903,237.21,238.85,234.36,238.47,418777,0.038089848511231095
20250904,238.45,239.9,236.74,239.78,273262,0.005493353461651473
20250905,240.0,241.32,238.49,239.69,322361,-0.00037534406539330156
20250908,239.3,240.15,236.34,237.88,282525,-0.007551420584922197
20250909,237.0,238.79,233.36,234.35,451458,-0.014839414831007258
20250910,231.97,232.42,225.95,226.79,517487,-0.03225944100704081
20250911,226.84,230.45,226.65,230.03,293730,0.014286344195070466
20250912,229.3,234.51,229.02,234.07,329779,0.017562926574794524
20250915,237.0,238.19,235.03,236.7,269991,0.011235955056179803
20250916,237.12,241.22,236.32,238.15,370992,0.006125897760878907
20250917,238.97,240.1,237.73,238.99,251459,0.0035271887465881946
20250918,239.96,241.2,236.65,237.88,248357,-0.004644545796895327
20250919,241.2,246.27,240.21,245.5,653534,0.03203295779384563
20250922,248.3,256.64,248.12,256.08,678745,0.04309572301425657
20250923,255.83,257.34,253.58,254.43,336236,-0.006443298969072031
20250924,255.25,255.71,251.04,252.31,217493,-0.008332350744802097
20250925,253.35,257.17,251.71,256.87,336861,0.01807300542982837
20250926,254.18,257.6,253.78,255.46,248770,-0.00548915793981386
20250929,254.56,255.0,253.01,254.43,217774,-0.0040319423784546116
20250930,254.89,255.92,253.11,254.63,189285,0.0007860708249813886
20251001,255.04,258.79,254.93,255.45,255152,0.0032203589522050713
20251002,256.59,258.18,254.15,257.13,242863,0.0065766294773927925
20251003,254.67,259.24,253.95,258.02,300782,0.0034612841753198786
20251006,257.99,259.07,255.05,256.69,233832,-0.005154639175257714
20251007,256.81,257.4,255.43,256.48,189707,-0.000818107444777616
20251008,256.52,258.52,256.11,258.06,188978,0.006160324391765393
20251009,257.81,258.0,253.14,254.04,214703,-0.01557777261102078
20251010,254.94,256.38,244.65,245.27,343679,-0.03452212250039355
20251013,249.31,249.69,245.56,247.66,187465,0.009744363354670327
20251014,246.6,248.85,244.7,247.77,176034,0.0004441573124445153
20251015,249.49,251.82,247.47,249.34,172138,0.006336521774226167
20251016,248.28,249.04,245.13,247.45,235216,-0.007580011229646355
20251017,248.08,253.38,247.27,252.29,260598,0.0195595069711052
20251020,255.89,264.38,255.63,262.24,538551,0.03943874113123802
20251021,261.88,265.29,261.83,262.77,282220,0.0020210494203782847
20251022,262.61,262.85,255.43,258.45,253627,-0.016440232903299434
20251023,259.89,260.62,258.01,259.58,162938,0.0043722189978718795
20251024,261.16,264.13,259.18,262.82,230876,0.012481701209646312
20251027,264.88,269.12,264.65,268.81,241394,0.02279126398295417
20251028,269.01,269.89,268.15,269.0,252611,0.0007068189427477112
20251029,269.37,271.41,267.11,269.7,269678,0.0026022304832713505
20251030,271.99,274.14,268.48,271.4,315950,0.006303299962921782
20251031,276.99,277.32,269.16,270.37,405689,-0.0037951363301399477
20251103,270.48,270.85,266.25,269.05,228147,-0.004882198468765031
20251104,268.32,271.49,267.61,270.04,245325,0.0036796134547483206
20251105,268.61,271.7,266.93,270.14,183519,0.00037031550881327924
20251106,267.89,273.4,267.89,269.77,254539,-0.0013696601762049898
20251107,269.8,272.29,266.77,268.47,261756,-0.004818919820587686
20251110,269.11,273.73,267.45,269.43,215195,0.003575818527209673
20251111,269.85,275.91,269.8,275.25,281695,0.021601158000222664
20251112,275.13,275.73,271.7,273.47,221957,-0.006466848319709229
20251113,274.27,276.7,272.09,272.95,218730,-0.0019014882802502742
20251114,271.02,275.96,269.6,272.41,232800,-0.0019783843194722817
20251117,268.83,270.49,265.73,267.46,213157,-0.01817113909181034
20251118,269.99,270.71,265.32,267.44,216566,-7.477753682783028e-05
20251119,265.54,272.21,265.5,268.56,203060,0.004187855219862424
20251120,270.92,275.43,265.92,266.25,247206,-0.008601429848078657
20251121,265.94,273.33,265.67,271.49,304978,0.019680751173708932
20251124,271.15,277.0,270.9,275.92,277184,0.01631735975542381
20251125,275.27,280.38,275.25,276.97,222383,0.003805450855320469
20251126,276.96,279.53,276.63,277.55,165941,0.002094089612593386
20251128,277.37,279.0,275.98,278.85,94987,0.004683840749414525
20251201,278.1,283.42,276.14,283.1,236316,0.01524116908732287
20251202,282.99,287.4,282.63,286.19,260667,0.010914871070293097
20251203,286.2,288.62,283.3,284.15,225869,-0.007128131660784853
20251204,284.1,284.73,278.59,280.7,224301,-0.012141474573288735
20251205,280.54,281.14,278.05,278.78,172928,-0.006840042750267283
20251208,278.11,279.67,276.15,277.89,187900,-0.003192481526651747
20251209,278.16,280.03,276.92,277.18,168802,-0.0025549677930115644
20251210,277.84,279.75,276.44,278.78,153355,0.005772422252687592
20251211,279.1,279.59,273.81,278.03,174643,-0.0026902934213358654
20251212,277.91,279.22,276.82,278.28,188607,0.0008991835413445504
20251215,280.15,280.15,272.84,274.11,248005,-0.014984907287623805
20251216,272.7,275.5,271.79,274.61,171917,0.001824085221261429
20251217,275.0,276.16,271.64,271.84,209705,-0.010087032518845018
20251218,273.61,273.63,266.95,272.19,257221,0.0012875220718069347
20251219,272.39,274.6,269.9,273.67,395698,0.0054373783019214805
20251222,272.88,273.88,270.5,270.97,203080,-0.00986589688310735
20251223,270.84,272.5,269.56,272.36,161244,0.005129719157102253
20251224,272.34,275.43,272.19,273.81,103002,0.005323836099280221
20251226,274.16,275.37,272.86,273.4,123474,-0.0014973887001936692
20251229,272.7,274.36,272.35,273.76,100982,0.0013167520117045584
20251230,272.81,274.08,272.28,273.08,118468,-0.002483927527761609
20251231,273.06,273.68,271.75,271.86,115926,-0.004467555295151526
20260102,272.25,277.84,269.0,271.01,215463,-0.003126609284190507
20260105,270.72,271.51,266.14,267.26,233550,-0.01383712778126267
20260106,267.0,267.54,262.12,262.36,277790,-0.018334206390780428
20260107,263.2,263.68,259.81,260.33,258631,-0.007737459978655381
20260108,257.06,259.29,255.7,259.04,296692,-0.004955249106902593
20260109,259.07,260.21,256.22,259.37,225765,0.0012739345274861424
20260112,259.22,261.3,256.8,260.25,232473,0.0033928364884141526
20260113,258.72,261.81,258.39,261.05,201699,0.00307396733909715
20260114,259.49,261.82,256.71,259.96,197182,-0.0041754453169892125
20260115,260.72,261.04,257.05,258.21,201397,-0.006731804893060467
20260116,258.05,258.9,255.0,255.53,280151,-0.010379148754889322
20260120,252.73,254.79,243.42,246.7,374458,-0.03455562947599111
20260121,248.7,251.56,245.18,247.65,319465,0.0038508309687881326
20260122,249.2,251.0,248.15,248.35,223476,0.0028265697557035008
20260123,247.36,249.41,244.68,248.04,224456,-0.0012482383732635993
20260126,251.5,256.56,249.8,255.41,289301,0.029712949524270282
20260127,259.14,261.95,258.21,258.27,262520,0.011197682158098576
20260128,257.53,258.86,254.51,256.44,192856,-0.0070856080845626
20260129,258.0,259.65,254.41,258.28,304453,0.007175167680548933
20260130,255.17,261.9,252.18,259.48,471106,0.004646120489391503
20260202,260.02,270.49,259.2,270.01,396556,0.040581162324649256
20260203,269.2,271.88,267.61,269.48,334747,-0.0019628902633235246
20260204,272.29,278.95,272.28,276.49,488958,0.026013062193854797
20260205,278.13,279.5,273.23,275.91,283241,-0.0020977250533472658
20260206,277.18,280.91,276.92,278.12,287866,0.00800985828712264
20260209,277.87,278.2,271.7,274.62,226528,-0.01258449590104993
20260210,274.88,275.37,272.94,273.68,145592,-0.0034229116597480624
20260211,274.68,280.18,274.45,275.5,270533,0.006650102309266215
20260212,275.59,275.72,260.18,261.73,406571,-0.04998185117967324
20260213,261.95,262.23,255.45,255.78,281924,-0.022733351163412796
20260217,257.9,266.29,255.54,263.88,288843,0.03166783954961283
20260218,263.53,266.82,262.45,264.35,171657,0.0017811126269517974
20260219,262.51,264.48,260.05,260.58,147662,-0.01426139587667874
